X_ER,X_ER membrane,X_ER membrane-associated,ERGIC,Golgi,Golgi membrane,Golgi membrane-associated,Cis Golgi,Trans Golgi,Lysosome,Mitochondria,Plasma Membrane,Endosome,Peroxisome,Nucleus,Cytosol,ER,ER Lumen,ER high curvature ,ER high sheet,ER Membrane,ER Membrane-associated,ER Receptors
,,,,,,,,,,PRORP,HAVCR2,,,FOXN3,PGK1,,,,,,,
,,,,,,,,,,PTCD1,HCAR1,,,FOXN4,PGK2,,,,,,,
,,,,,,,,,,PTCD2,HCAR2,,,FOXP1,PGLS,,,,,,,
,,,,,,,,,,PTCD3,HCAR3,,,FOXP2,PGM1,,,,,,,
,,,,,,,,,,PTPMT1,HCN1,,,FOXP4,PGM2,,,,,,,
,,,,,,,,,,PTRH2,HCN2,,,FOXQ1,PGPEP1,,,,,,,
,,,,,,,,,,PYCR1,HCN3,,,FOXR1,PHPT1,,,,,,,
,,,,,,,,,,PYURF,HCN4,,,FOXR2,PID1,,,,,,,
,,,,,,,,,,QRSL1,HCRTR1,,,FOXS1,PIGH,,,,,,,
,,,,,,,,,,RARS2,HCRTR2,,,FRA10AC1,PIK3CD,,,,,,,
,,,,,,,,,,RBFA,HERVK_113,,,FRG2,PIM3,,,,,,,
,,,,,,,,,,RCC1L,HFE,,,FRG2B,PIPSL,,,,,,,
,,,,,,,,,,RDH13,HJV,,,FRG2C,PITHD1,,,,,,,
,,,,,,,,,,RHOT1,HLA-H,,,FSBP,PITPNA,,,,,,,
,,,,,,,,,,RHOT2,HPN,,,FTSJ3,PITPNC1,,,,,,,
,,,,,,,,,,RMND1,HRH1,,,FUBP1,PLCL1,,,,,,,
,,,,,,,,,,ROMO1,HRH2,,,FUBP3,PLCXD1,,,,,,,
,,,,,,,,,,RPUSD3,HRH3,,,FUS,PLCXD3,,,,,,,
,,,,,,,,,,RPUSD4,HRH4,,,FYTTD1,PLEKHA5,,,,,,,
,,,,,,,,,,RSAD1,HSD17B7,,,GABPA,PLEKHM2,,,,,,,
,,,,,,,,,,RTL10,HTR1A,,,GABPB1,PLS1,,,,,,,
,,,,,,,,,,SARDH,HTR1B,,,GABPB2,PLS3,,,,,,,
,,,,,,,,,,SARS2,HTR1D,,,GADD45A,PMM1,,,,,,,
,,,,,,,,,,SCO1,HTR1E,,,GAR1,PMM2,,,,,,,
,,,,,,,,,,SCO2,HTR1F,,,GATA1,PMP2,,,,,,,
,,,,,,,,,,SDHA,HTR2B,,,GATA2,PMVK,,,,,,,
,,,,,,,,,,SDHAF1,HTR2C,,,GATA3,PNPLA1,,,,,,,
,,,,,,,,,,SDHAF2,HTR3A,,,GATA4,PPA1,,,,,,,
,,,,,,,,,,SDHAF3,HTR5A,,,GATA5,PPIAL4A,,,,,,,
,,,,,,,,,,SDHAF4,HTR6,,,GATA6,PPIAL4C,,,,,,,
,,,,,,,,,,SDHB,HTR7,,,GATAD1,PPIAL4D,,,,,,,
,,,,,,,,,,SDHC,HVCN1,,,GATAD2A,PPIAL4E,,,,,,,
,,,,,,,,,,SDHD,HYAL2,,,GATAD2B,PPIAL4F,,,,,,,
,,,,,,,,,,SELENOO,ICOSLG,,,GBX1,PPIAL4G,,,,,,,
,,,,,,,,,,SFXN1,IFIT5,,,GBX2,PPIAL4H,,,,,,,
,,,,,,,,,,SFXN2,IFITM1,,,GCFC2,PPIC,,,,,,,
,,,,,,,,,,SFXN3,IFITM10,,,GCM1,PPIP5K2,,,,,,,
,,,,,,,,,,SFXN4,IFITM2,,,GCM2,PPP1R14A,,,,,,,
,,,,,,,,,,SFXN5,IFITM5,,,GCNA,PPP1R14B,,,,,,,
,,,,,,,,,,SHC1,IFNGR1,,,GEN1,PPP1R14D,,,,,,,
,,,,,,,,,,SHMT2,IGDCC4,,,GFI1,PPP1R1B,,,,,,,
,,,,,,,,,,SIAH3,IGF1R,,,GFI1B,PPP1R1C,,,,,,,
,,,,,,,,,,SIRT3,IGFLR1,,,GINS1,PPP2R2D,,,,,,,
,,,,,,,,,,SIRT4,IGSF11,,,GINS2,PPP2R5B,,,,,,,
,,,,,,,,,,SLC25A1,IGSF21,,,GINS3,PPP2R5E,,,,,,,
,,,,,,,,,,SLC25A10,IGSF5,,,GLI4,PPP3CB,,,,,,,
,,,,,,,,,,SLC25A11,IGSF8,,,GLIS1,PPP4R4,,,,,,,
,,,,,,,,,,SLC25A12,IGSF9,,,GLIS3,PPP6R1,,,,,,,
,,,,,,,,,,SLC25A13,IGSF9B,,,GLYR1,PPP6R2,,,,,,,
,,,,,,,,,,SLC25A14,IL17RC,,,GMCL1,PRDX1,,,,,,,
,,,,,,,,,,SLC25A15,IL18RAP,,,GMCL2,PRDX2,,,,,,,
,,,,,,,,,,SLC25A16,IL23R,,,GMNC,PREP,,,,,,,
,,,,,,,,,,SLC25A18,IL2RB,,,GNAQ,PRKCH,,,,,,,
,,,,,,,,,,SLC25A19,IL2RG,,,GNL2,PRMT3,,,,,,,
,,,,,,,,,,SLC25A2,IL31RA,,,GNL3,PRMT9,,,,,,,
,,,,,,,,,,SLC25A20,INPP5A,,,GNL3L,PRUNE2,,,,,,,
,,,,,,,,,,SLC25A21,ISLR2,,,GON4L,PRXL2B,,,,,,,
,,,,,,,,,,SLC25A22,ITGA3,,,GON7,PTGES3,,,,,,,
,,,,,,,,,,SLC25A23,ITGA6,,,GPATCH2,PTGR1,,,,,,,
,,,,,,,,,,SLC25A24,ITGA8,,,GPBP1L1,PTGR2,,,,,,,
,,,,,,,,,,SLC25A25,ITGAL,,,GPKOW,PTPN22,,,,,,,
,,,,,,,,,,SLC25A26,ITGAM,,,GRHL1,PTPN9,,,,,,,
,,,,,,,,,,SLC25A27,ITGAV,,,GRHL2,PYCR3,,,,,,,
,,,,,,,,,,SLC25A28,ITGB2,,,GRHL3,PYDC1,,,,,,,
,,,,,,,,,,SLC25A29,ITGB3,,,GRWD1,QARS1,,,,,,,
,,,,,,,,,,SLC25A3,ITGB4,,,GSC,RAB3GAP1,,,,,,,
,,,,,,,,,,SLC25A30,ITGB8,,,GSC2,RALGAPA2,,,,,,,
,,,,,,,,,,SLC25A31,IZUMO1R,,,GSX1,RARS1,,,,,,,
,,,,,,,,,,SLC25A32,IZUMO3,,,GSX2,RASA1,,,,,,,
,,,,,,,,,,SLC25A33,JAM2,,,GTF2A1,RBMS3,,,,,,,
,,,,,,,,,,SLC25A34,JAML,,,GTF2A1L,RBP2,,,,,,,
,,,,,,,,,,SLC25A35,KCNA3,,,GTF2A2,RBP5,,,,,,,
,,,,,,,,,,SLC25A36,KCNA4,,,GTF2B,RBP7,,,,,,,
,,,,,,,,,,SLC25A37,KCNA5,,,GTF2E1,RBPMS2,,,,,,,
,,,,,,,,,,SLC25A38,KCNA6,,,GTF2E2,REPS2,,,,,,,
,,,,,,,,,,SLC25A39,KCNB2,,,GTF2F1,RERG,,,,,,,
,,,,,,,,,,SLC25A4,KCNC1,,,GTF2F2,RFK,,,,,,,
,,,,,,,,,,SLC25A40,KCNC2,,,GTF2H1,RGN,,,,,,,
,,,,,,,,,,SLC25A41,KCND3,,,GTF2H2,RGPD5,,,,,,,
,,,,,,,,,,SLC25A42,KCNE1,,,GTF2H2C,RGS18,,,,,,,
,,,,,,,,,,SLC25A43,KCNE2,,,GTF2H3,RIMKLA,,,,,,,
,,,,,,,,,,SLC25A44,KCNG1,,,GTF2H4,RIMKLB,,,,,,,
,,,,,,,,,,SLC25A45,KCNG4,,,GTF2H5,RIN2,,,,,,,
,,,,,,,,,,SLC25A46,KCNH2,,,GTF2IRD1,RIOK1,,,,,,,
,,,,,,,,,,SLC25A47,KCNIP2,,,GTF2IRD2,RIOK3,,,,,,,
,,,,,,,,,,SLC25A48,KCNJ1,,,GTF2IRD2B,RIPK2,,,,,,,
,,,,,,,,,,SLC25A5,KCNJ10,,,GTF3A,RLBP1,,,,,,,
,,,,,,,,,,SLC25A51,KCNJ12,,,GTF3C1,RMND5B,,,,,,,
,,,,,,,,,,SLC25A52,KCNJ16,,,GTF3C2,RNASEH1,,,,,,,
,,,,,,,,,,SLC25A53,KCNJ18,,,GTF3C3,RNF123,,,,,,,
,,,,,,,,,,SLC25A6,KCNK18,,,GTF3C4,RNF157,,,,,,,
,,,,,,,,,,SLC27A3,KCNK3,,,GTF3C5,RNF166,,,,,,,
,,,,,,,,,,SLC8B1,KCNK4,,,GTF3C6,RNF213,,,,,,,
,,,,,,,,,,SMDT1,KCNK9,,,GTPBP10,RNF216,,,,,,,
,,,,,,,,,,SMIM20,KCNMA1,,,GTPBP4,RNF220,,,,,,,
,,,,,,,,,,SNN,KCNN4,,,H1-0,RNF31,,,,,,,
,,,,,,,,,,SOD2,KCNQ2,,,H1-1,RNF32,,,,,,,
,,,,,,,,,,SPATA19,KCNQ3,,,H1-2,RNF39,,,,,,,
,,,,,,,,,,SPG7,KCNQ4,,,H1-3,RNH1,,,,,,,
,,,,,,,,,,SPNS1,KCNQ5,,,H1-4,RPL13A,,,,,,,
,,,,,,,,,,SQOR,KCNS1,,,H1-5,RPL36,,,,,,,
,,,,,,,,,,SSBP1,KCNS2,,,H1FNT,RPL36A,,,,,,,
,,,,,,,,,,STAR,KCNS3,,,H1FX,RPL36AL,,,,,,,
,,,,,,,,,,STARD7,KCNT1,,,H2AB1,RPL8,,,,,,,
,,,,,,,,,,STMP1,KCNT2,,,H2AB2,RPS12,,,,,,,
,,,,,,,,,,STYXL1,KCNU1,,,H2AC11,RPS18,,,,,,,
,,,,,,,,,,SUCLA2,KCNV1,,,H2AC14,RPS20,,,,,,,
,,,,,,,,,,SUCLG1,KCNV2,,,H2AC4,RRM1,,,,,,,
,,,,,,,,,,SUCLG2,KCTD12,,,H2AC7,RRM2,,,,,,,
,,,,,,,,,,SUGCT,KCTD16,,,H2AFJ,S100A1,,,,,,,
,,,,,,,,,,SUOX,KCTD3,,,H2AFV,S100A14,,,,,,,
,,,,,,,,,,SURF1,KCTD8,,,H2AFX,S100A3,,,,,,,
,,,,,,,,,,SYNJ2BP,KIR2DL1,,,H2AFY,S100A7A,,,,,,,
,,,,,,,,,,TACO1,KIR2DL2,,,H2AFY2,SAMD5,,,,,,,
,,,,,,,,,,TAMM41,KIR2DL3,,,H2AZ1,SAMD9,,,,,,,
,,,,,,,,,,TARS2,KIR2DL5A,,,H2BC1,SARG,,,,,,,
,,,,,,,,,,TBRG4,KIR2DL5B,,,H2BC11,SASH1,,,,,,,
,,,,,,,,,,TCAIM,KIR2DS1,,,H2BC12,SAT1,,,,,,,
,,,,,,,,,,TDH,KIR2DS2,,,H2BC13,SBK1,,,,,,,
,,,,,,,,,,TEFM,KIR2DS3,,,H2BC14,SCHIP1,,,,,,,
,,,,,,,,,,TFAM,KIR2DS4,,,H2BC15,SCLY,,,,,,,
,,,,,,,,,,TFB1M,KIR2DS5,,,H2BC4,SCRN1,,,,,,,
,,,,,,,,,,TFB2M,KIR3DL1,,,H2BFS,SDR9C7,,,,,,,
,,,,,,,,,,THEM5,KIR3DL2,,,H2BFWT,SDS,,,,,,,
,,,,,,,,,,TIMM10,KIR3DL3,,,H2BW2,SELENOW,,,,,,,
,,,,,,,,,,TIMM10B,KIR3DS1,,,H3-3A,SEPSECS,,,,,,,
,,,,,,,,,,TIMM13,KIRREL1,,,H3C1,SERPINB11,,,,,,,
,,,,,,,,,,TIMM17A,KIRREL2,,,H3F3C,SERPINB12,,,,,,,
,,,,,,,,,,TIMM17B,KISS1R,,,H4C1,SERPINB13,,,,,,,
,,,,,,,,,,TIMM21,KLB,,,HAND1,SERPINB6,,,,,,,
,,,,,,,,,,TIMM22,KLRD1,,,HAND2,SERPINB7,,,,,,,
,,,,,,,,,,TIMM23,KLRF2,,,HBP1,SERPINB8,,,,,,,
,,,,,,,,,,TIMM23B,KLRG1,,,HDAC1,SERPINB9,,,,,,,
,,,,,,,,,,TIMM29,KLRK1,,,HDAC11,SESN2,,,,,,,
,,,,,,,,,,TIMM44,KREMEN1,,,HDAC9,SESN3,,,,,,,
,,,,,,,,,,TIMM8A,KRT1,,,HDGFL2,SGSM2,,,,,,,
,,,,,,,,,,TIMM8B,L1CAM,,,HDGFL3,SGSM3,,,,,,,
,,,,,,,,,,TIMM9,LAIR1,,,HDX,SH2D1A,,,,,,,
,,,,,,,,,,TIMMDC1,LAT,,,HEATR1,SH2D2A,,,,,,,
,,,,,,,,,,TK2,LAT2,,,HELLS,SH2D4A,,,,,,,
,,,,,,,,,,TMEM11,LAX1,,,HELT,SH3GLB2,,,,,,,
,,,,,,,,,,TMEM126A,LCT,,,HELZ,SHMT1,,,,,,,
,,,,,,,,,,TMEM126B,LDLRAD3,,,HELZ2,SHPK,,,,,,,
,,,,,,,,,,TMEM14C,LGR4,,,HEMGN,SIK2,,,,,,,
,,,,,,,,,,TMEM177,LGR6,,,HES1,SIK3,,,,,,,
,,,,,,,,,,TMEM70,LHCGR,,,HES2,SIKE1,,,,,,,
,,,,,,,,,,TMLHE,LHFPL4,,,HES3,SKAP2,,,,,,,
,,,,,,,,,,TOMM20,LHFPL5,,,HES4,SLFN13,,,,,,,
,,,,,,,,,,TOMM20L,LILRA4,,,HES5,SLK,,,,,,,
,,,,,,,,,,TOMM22,LILRB2,,,HES6,SNCB,,,,,,,
,,,,,,,,,,TOMM40,LILRB3,,,HES7,SPAG1,,,,,,,
,,,,,,,,,,TOMM40L,LILRB4,,,HESX1,SPATA17,,,,,,,
,,,,,,,,,,TOMM5,LIME1,,,HEXIM2,SPATA5L1,,,,,,,
,,,,,,,,,,TOMM6,LIN7A,,,HEY1,SPATS2,,,,,,,
,,,,,,,,,,TOMM7,LIN7B,,,HEY2,SPHKAP,,,,,,,
,,,,,,,,,,TOMM70,LIN7C,,,HEYL,SPR,,,,,,,
,,,,,,,,,,TOP1MT,LINGO1,,,HHEX,SPRR1A,,,,,,,
,,,,,,,,,,TOP3A,LMBRD2,,,HIC1,SPRR1B,,,,,,,
,,,,,,,,,,TP53AIP1,LPAR2,,,HIC2,SPRR2A,,,,,,,
,,,,,,,,,,TRAP1,LPAR3,,,HILS1,SPRR2B,,,,,,,
,,,,,,,,,,TRIM14,LPAR4,,,HINFP,SPRR2D,,,,,,,
,,,,,,,,,,TRMT10C,LPAR5,,,HIRA,SPRR2E,,,,,,,
,,,,,,,,,,TRMT61B,LPAR6,,,HIRIP3,SPRR2F,,,,,,,
,,,,,,,,,,TRMU,LRFN1,,,HIST1H1T,SPRR2G,,,,,,,
,,,,,,,,,,TRNT1,LRFN2,,,HIST1H2AA,SPRR3,,,,,,,
,,,,,,,,,,TRUB2,LRFN3,,,HIST1H2AC,SPSB1,,,,,,,
,,,,,,,,,,TSFM,LRIG1,,,HIST1H2AH,SPSB2,,,,,,,
,,,,,,,,,,TSPO,LRP4,,,HIST1H2BB,SPSB4,,,,,,,
,,,,,,,,,,TST,LRRC32,,,HIST1H2BD,SRMS,,,,,,,
,,,,,,,,,,TTC19,LRRC38,,,HIST1H2BH,SRP14,,,,,,,
,,,,,,,,,,TUFM,LRRC4,,,HIST1H2BO,SRP19,,,,,,,
,,,,,,,,,,TWNK,LRRC4B,,,HIST1H4G,SRP9,,,,,,,
,,,,,,,,,,TXN2,LRRC4C,,,HIST2H2AA3,SRRD,,,,,,,
,,,,,,,,,,TXNRD2,LRRC52,,,HIST2H2AB,SRXN1,,,,,,,
,,,,,,,,,,UCP1,LRRC55,,,HIST2H2AC,ST13,,,,,,,
,,,,,,,,,,UCP2,LRRTM1,,,HIST2H2BC,ST13P4,,,,,,,
,,,,,,,,,,UCP3,LRRTM2,,,HIST2H2BD,ST13P5,,,,,,,
,,,,,,,,,,UQCC1,LRRTM3,,,HIST2H2BE,STAP2,,,,,,,
,,,,,,,,,,UQCC2,LRRTM4,,,HIST2H2BF,STK11IP,,,,,,,
,,,,,,,,,,UQCC3,LSAMP,,,HIST2H3A,STXBP4,,,,,,,
,,,,,,,,,,UQCR10,LSR,,,HIST3H2A,SULT1A1,,,,,,,
,,,,,,,,,,UQCR11,LTB4R,,,HIST3H2BB,SULT1A2,,,,,,,
,,,,,,,,,,UQCRB,LTB4R2,,,HIST3H3,SULT1A3,,,,,,,
,,,,,,,,,,UQCRC1,LY6D,,,HIVEP2,SULT1A4,,,,,,,
,,,,,,,,,,UQCRC2,LY6E,,,HJURP,SULT1B1,,,,,,,
,,,,,,,,,,UQCRFS1,LY6G6C,,,HLF,SULT1C2,,,,,,,
,,,,,,,,,,UQCRH,LY6G6D,,,HLX,SULT1C3,,,,,,,
,,,,,,,,,,UQCRHL,LY6G6F,,,HMG20A,SULT1C4,,,,,,,
,,,,,,,,,,UQCRQ,LY6H,,,HMG20B,SULT1E1,,,,,,,
,,,,,,,,,,USP30,LY6L,,,HMGA1,SULT2A1,,,,,,,
,,,,,,,,,,VARS2,LY9,,,HMGA2,SULT4A1,,,,,,,
,,,,,,,,,,VDAC2,LYPD1,,,HMGB1P1,SULT6B1,,,,,,,
,,,,,,,,,,VDAC3,LYPD2,,,HMGB4,TAGLN,,,,,,,
,,,,,,,,,,VPS13C,LYPD3,,,HMGN3,TALDO1,,,,,,,
,,,,,,,,,,WARS2,LYPD4,,,HMGN4,TANK,,,,,,,
,,,,,,,,,,YARS2,LYPD5,,,HMGN5,TAOK1,,,,,,,
,,,,,,,,,,YME1L1,LYPD6B,,,HMGXB3,TARS1,,,,,,,
,,,,,,,,,,YRDC,MAG,,,HMGXB4,TBATA,,,,,,,
,,,,,,,,,,,MAGI1,,,HMX1,TBC1D10B,,,,,,,
,,,,,,,,,,,MARCO,,,HMX2,TBC1D15,,,,,,,
,,,,,,,,,,,MARVELD2,,,HMX3,TBC1D8B,,,,,,,
,,,,,,,,,,,MAS1,,,HNF1A,TBK1,,,,,,,
,,,,,,,,,,,MAS1L,,,HNF1B,TDRG1,,,,,,,
,,,,,,,,,,,MC1R,,,HNF4A,TEX44,,,,,,,
,,,,,,,,,,,MC2R,,,HNF4G,TGM3,,,,,,,
,,,,,,,,,,,MC3R,,,HNRNPA0,TGM5,,,,,,,
,,,,,,,,,,,MC4R,,,HNRNPA3,TGM6,,,,,,,
,,,,,,,,,,,MC5R,,,HNRNPC,THOP1,,,,,,,
,,,,,,,,,,,MCHR1,,,HNRNPCL1,THTPA,,,,,,,
,,,,,,,,,,,MCHR2,,,HNRNPCL2,TIPRL,,,,,,,
,,,,,,,,,,,MDGA1,,,HNRNPCL3,TK1,,,,,,,
,,,,,,,,,,,MDGA2,,,HNRNPCL4,TNFAIP8,,,,,,,
,,,,,,,,,,,MEGF10,,,HNRNPF,TNFAIP8L1,,,,,,,
,,,,,,,,,,,MEGF11,,,HNRNPH1,TOB2,,,,,,,
,,,,,,,,,,,MELK,,,HNRNPH2,TOLLIP,,,,,,,
,,,,,,,,,,,MELTF,,,HNRNPH3,TOPAZ1,,,,,,,
,,,,,,,,,,,MFAP3,,,HNRNPM,TPI1,,,,,,,
,,,,,,,,,,,MFRP,,,HNRNPUL1,TPMT,,,,,,,
,,,,,,,,,,,MFSD2B,,,HNRNPUL2,TPRG1,,,,,,,
,,,,,,,,,,,MFSD4B,,,HOMEZ,TPT1,,,,,,,
,,,,,,,,,,,MFSD5,,,HORMAD1,TRAF2,,,,,,,
,,,,,,,,,,,MGAM,,,HORMAD2,TRAF5,,,,,,,
,,,,,,,,,,,MILR1,,,HOXA1,TRDMT1,,,,,,,
,,,,,,,,,,,MINAR1,,,HOXA10,TRIM10,,,,,,,
,,,,,,,,,,,MIP,,,HOXA11,TRIM16,,,,,,,
,,,,,,,,,,,MLNR,,,HOXA13,TRIM16L,,,,,,,
,,,,,,,,,,,MME,,,HOXA2,TRIM2,,,,,,,
,,,,,,,,,,,MOG,,,HOXA3,TRIM34,,,,,,,
,,,,,,,,,,,MOSMO,,,HOXA4,TRIM4,,,,,,,
,,,,,,,,,,,MOSPD2,,,HOXA5,TRIM50,,,,,,,
,,,,,,,,,,,MPP1,,,HOXA6,TRIM56,,,,,,,
,,,,,,,,,,,MPZ,,,HOXA7,TRIM6,,,,,,,
,,,,,,,,,,,MRGPRE,,,HOXA9,TRIM62,,,,,,,
,,,,,,,,,,,MRGPRF,,,HOXB1,TRMT44,,,,,,,
,,,,,,,,,,,MRGPRG,,,HOXB13,TROAP,,,,,,,
,,,,,,,,,,,MRGPRX1,,,HOXB2,TTBK1,,,,,,,
,,,,,,,,,,,MRGPRX2,,,HOXB3,TTC41P,,,,,,,
,,,,,,,,,,,MRGPRX3,,,HOXB4,TTI1,,,,,,,
,,,,,,,,,,,MRGPRX4,,,HOXB5,TTPA,,,,,,,
,,,,,,,,,,,MS4A1,,,HOXB6,TULP4,,,,,,,
,,,,,,,,,,,MTNR1A,,,HOXB7,TXNDC17,,,,,,,
,,,,,,,,,,,MTNR1B,,,HOXB8,TXNDC2,,,,,,,
,,,,,,,,,,,MUC21,,,HOXB9,TXNIP,,,,,,,
,,,,,,,,,,,MUSK,,,HOXC10,UBAC1,,,,,,,
,,,,,,,,,,,MYMX,,,HOXC11,UBE2D1,,,,,,,
,,,,,,,,,,,MYO1G,,,HOXC12,UBE2K,,,,,,,
,,,,,,,,,,,NAALAD2,,,HOXC13,UBE2Q2,,,,,,,
,,,,,,,,,,,NAALADL1,,,HOXC4,UBE3D,,,,,,,
,,,,,,,,,,,NAE1,,,HOXC5,UBE4A,,,,,,,
,,,,,,,,,,,NAPA,,,HOXC6,UBL4B,,,,,,,
,,,,,,,,,,,NCAM2,,,HOXC8,UBL5,,,,,,,
,,,,,,,,,,,NCMAP,,,HOXC9,UBR1,,,,,,,
,,,,,,,,,,,NCR1,,,HOXD1,UBTD2,,,,,,,
,,,,,,,,,,,NCR2,,,HOXD10,UBXN1,,,,,,,
,,,,,,,,,,,NCR3,,,HOXD11,UCHL3,,,,,,,
,,,,,,,,,,,NCR3LG1,,,HOXD12,UGP2,,,,,,,
,,,,,,,,,,,NECTIN2,,,HOXD13,UNC45B,,,,,,,
,,,,,,,,,,,NECTIN3,,,HOXD3,UNK,,,,,,,
,,,,,,,,,,,NEGR1,,,HOXD4,UPB1,,,,,,,
,,,,,,,,,,,NEO1,,,HOXD8,URM1,,,,,,,
,,,,,,,,,,,NEU3,,,HOXD9,UROD,,,,,,,
,,,,,,,,,,,NFAM1,,,HP1BP3,USP47,,,,,,,
,,,,,,,,,,,NFASC,,,HR,USP9Y,,,,,,,
,,,,,,,,,,,NGFR,,,HSBP1,VCPKMT,,,,,,,
,,,,,,,,,,,NKAIN1,,,HSF4,VWA3B,,,,,,,
,,,,,,,,,,,NKAIN2,,,HSF5,WARS1,,,,,,,
,,,,,,,,,,,NKAIN3,,,HSFX3,WDR41,,,,,,,
,,,,,,,,,,,NKAIN4,,,HSFX4,WDR6,,,,,,,
,,,,,,,,,,,NKTR,,,HTATSF1,WNK1,,,,,,,
,,,,,,,,,,,NLGN1,,,ICE1,WNK3,,,,,,,
,,,,,,,,,,,NLGN2,,,ICE2,XPNPEP1,,,,,,,
,,,,,,,,,,,NLGN3,,,ID3,YARS1,,,,,,,
,,,,,,,,,,,NLGN4X,,,ID4,YTHDC2,,,,,,,
,,,,,,,,,,,NLGN4Y,,,IFI35,YTHDF1,,,,,,,
,,,,,,,,,,,NMBR,,,IKZF2,YTHDF3,,,,,,,
,,,,,,,,,,,NMUR1,,,IKZF4,YWHAG,,,,,,,
,,,,,,,,,,,NMUR2,,,IKZF5,YWHAZ,,,,,,,
,,,,,,,,,,,NOS1,,,IMP3,ZAR1,,,,,,,
,,,,,,,,,,,NOX1,,,IMP4,ZCCHC3,,,,,,,
,,,,,,,,,,,NPBWR1,,,IMUP,ZFAND5,,,,,,,
,,,,,,,,,,,NPBWR2,,,ING1,ZFAND6,,,,,,,
,,,,,,,,,,,NPFFR1,,,ING3,FLNB,,,,,,,
,,,,,,,,,,,NPFFR2,,,ING4,CALD1,,,,,,,
,,,,,,,,,,,NPHS1,,,ING5,MICAL3,,,,,,,
,,,,,,,,,,,NPR2,,,INIP,SYAP1,,,,,,,
,,,,,,,,,,,NPTN,,,INKA2,TJP2,,,,,,,
,,,,,,,,,,,NPY1R,,,INO80B,DCTN6,,,,,,,
,,,,,,,,,,,NPY2R,,,INO80C,SDCBP,,,,,,,
,,,,,,,,,,,NPY4R,,,INO80D,TACC1,,,,,,,
,,,,,,,,,,,NPY4R2,,,INO80E,GYS1,,,,,,,
,,,,,,,,,,,NPY5R,,,INSM1,CCNB1,,,,,,,
,,,,,,,,,,,NRAC,,,INTS1,MTOR,,,,,,,
,,,,,,,,,,,NRN1,,,INTS10,CCN3,,,,,,,
,,,,,,,,,,,NRN1L,,,INTS12,GABARAPL2,,,,,,,
,,,,,,,,,,,NRXN1,,,INTS14,OCRL,,,,,,,
,,,,,,,,,,,NRXN1,,,INTS4,HOOK3,,,,,,,
,,,,,,,,,,,NT5E,,,INTS6,DTNBP1,,,,,,,
,,,,,,,,,,,NTM,,,INTS8,INPP5K,,,,,,,
,,,,,,,,,,,NTNG1,,,INTS9,DCTN5,,,,,,,
,,,,,,,,,,,NTNG2,,,IP6K2,RAB11FIP5,,,,,,,
,,,,,,,,,,,NTSR1,,,IPMK,GABARAPL1,,,,,,,
,,,,,,,,,,,NTSR2,,,IRF2,CHMP4B,,,,,,,
,,,,,,,,,,,OCLN,,,IRF2BP1,DERA,,,,,,,
,,,,,,,,,,,OMG,,,IRF2BPL,CHMP3,,,,,,,
,,,,,,,,,,,OPALIN,,,IRF4,BAIAP2L1,,,,,,,
,,,,,,,,,,,OPCML,,,IRX1,CHMP3,,,,,,,
,,,,,,,,,,,OPN1MW,,,IRX2,PBXIP1,,,,,,,
,,,,,,,,,,,OPN1MW2,,,IRX3,STBD1,,,,,,,
,,,,,,,,,,,OPN1MW3,,,IRX4,OSBPL10,,,,,,,
,,,,,,,,,,,OPN4,,,IRX5,CCNB2,,,,,,,
,,,,,,,,,,,OPRD1,,,IRX6,DNM2,,,,,,,
,,,,,,,,,,,OPRK1,,,ISG20L2,DST,,,,,,,
,,,,,,,,,,,OR10A2,,,ISL1,RAB1B,,,,,,,
,,,,,,,,,,,OR10A3,,,ISL2,TPM1,,,,,,,
,,,,,,,,,,,OR10A4,,,ISX,TPM4,,,,,,,
,,,,,,,,,,,OR10A5,,,ISY1,PRKACA,,,,,,,
,,,,,,,,,,,OR10A6,,,IWS1,VCL,,,,,,,
,,,,,,,,,,,OR10A7,,,JARID2,FAM3C,,,,,,,
,,,,,,,,,,,OR10AC1,,,JAZF1,ARHGAP12,,,,,,,
,,,,,,,,,,,OR10AD1,,,JDP2,PGP,,,,,,,
,,,,,,,,,,,OR10AG1,,,JMJD1C,CTNNB1,,,,,,,
,,,,,,,,,,,OR10C1,,,JRK,EIF2B2,,,,,,,
,,,,,,,,,,,OR10D3,,,JRKL,GRB2,,,,,,,
,,,,,,,,,,,OR10D4P,,,JUN,PTPN12,,,,,,,
,,,,,,,,,,,OR10G2,,,JUNB,TRIM26,,,,,,,
,,,,,,,,,,,OR10G3,,,JUND,MYO9B,,,,,,,
,,,,,,,,,,,OR10G4,,,KANSL1,DHX34,,,,,,,
,,,,,,,,,,,OR10G6,,,KANSL2,FNBP1L,,,,,,,
,,,,,,,,,,,OR10G7,,,KANSL3,WASL,,,,,,,
,,,,,,,,,,,OR10G8,,,KAT6A,PIK3C2A,,,,,,,
,,,,,,,,,,,OR10G9,,,KAT6B,EXOC5,,,,,,,
,,,,,,,,,,,OR10H1,,,KAT8,AURKA,,,,,,,
,,,,,,,,,,,OR10H2,,,KCTD1,DAPK3,,,,,,,
,,,,,,,,,,,OR10H3,,,KCTD10,KIF1C,,,,,,,
,,,,,,,,,,,OR10H4,,,KCTD13,HIP1R,,,,,,,
,,,,,,,,,,,OR10H5,,,KDM1A,HMMR,,,,,,,
